ip.src,ip.dst,tcp.srcport,eth.src,eth.dst,frame.len,udp.srcport,udp.dstport,Label
23.27.84.84,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.96.78,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.165.18.201,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.252.128.129,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.113.58,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.96.78,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.81.46,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
50.117.67.248,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.196.150,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.120.111.213,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
166.88.23.196,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.113.205,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.199.148,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.252.93.13,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.120.111.213,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.187.190.117,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.57.113,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
136.0.124.43,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.161.84,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.216.192,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
136.0.124.168,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.102.81,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.190.80,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.143.132.8,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
104.165.56.68,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.186.192.30,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.186.192.30,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.252.157.118,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.165.141.33,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.187.100.224,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.165.141.171,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.121.138.55,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
45.39.49.207,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.252.90.83,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
166.88.201.100,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.250.45,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
104.253.78.186,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.140.162,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.252.151.115,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
205.164.29.230,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.187.119.46,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
107.164.224.91,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.224.44,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
166.88.253.100,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.253.253.12,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.165.63.190,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
166.88.253.194,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
107.186.167.176,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
121.42.81.211,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
172.121.96.13,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
172.121.35.102,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
104.165.178.113,10.10.10.10,443.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,54,,,Attack
166.88.253.194,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
142.111.179.150,10.10.10.10,80.0,98:5d:82:11:54:49,00:16:3e:0d:ec:f2,58,,,Attack
