"No.","Time","Source","Destination","Protocol","Length","Info"
"3666","0.066645","142.111.252.154","10.10.10.10","TCP","58","443  >  20747 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3667","0.066654","136.0.50.174","10.10.10.10","TCP","54","80  >  25425 [RST] Seq=1 Win=0 Len=0"
"3668","0.066657","107.187.152.118","10.10.10.10","TCP","58","80  >  63409 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3669","0.066713","107.186.19.26","10.10.10.10","TCP","58","80  >  45093 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3670","0.066716","104.253.13.181","10.10.10.10","TCP","58","80  >  28555 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3671","0.066790","45.38.255.153","10.10.10.10","TCP","58","80  >  49710 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3672","0.066795","104.253.13.157","10.10.10.10","TCP","58","80  >  55972 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3673","0.066798","104.165.25.105","10.10.10.10","ICMP","82","Destination unreachable (Host administratively prohibited)"
"3674","0.066837","172.121.254.22","10.10.10.10","TCP","58","80  >  11137 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3675","0.066840","172.252.128.129","10.10.10.10","ICMP","86","Destination unreachable (Host administratively prohibited)"
"3676","0.066879","50.118.247.122","10.10.10.10","TCP","58","80  >  15130 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3677","0.066903","50.117.42.134","10.10.10.10","TCP","58","80  >  25631 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3678","0.066953","104.164.174.188","10.10.10.10","TCP","58","80  >  29705 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3679","0.066957","107.165.217.136","10.10.10.10","TCP","58","80  >  35823 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=536"
"3680","0.067019","136.0.224.56","10.10.10.10","TCP","58","80  >  43264 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3681","0.067023","23.27.105.107","10.10.10.10","TCP","54","80  >  1919 [RST] Seq=1 Win=0 Len=0"
"3682","0.067052","209.74.107.109","10.10.10.10","TCP","58","80  >  15476 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3683","0.067055","104.252.112.21","10.10.10.10","TCP","58","80  >  35854 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3684","0.067058","209.74.107.109","10.10.10.10","TCP","58","80  >  61759 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400"
"3685","0.067062","136.0.176.66","10.10.10.10","TCP","58","80  >  25960 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3686","0.067065","107.164.90.3","10.10.10.10","TCP","58","80  >  18244 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3687","0.067106","45.38.71.204","10.10.10.10","TCP","58","80  >  19763 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
"3688","0.067110","104.165.68.248","10.10.10.10","TCP","54","80  >  24162 [RST] Seq=1 Win=0 Len=0"
"3689","0.067112","205.164.44.8","10.10.10.10","ICMP","86","Destination unreachable (Host administratively prohibited)"
"3690","0.067148","142.111.35.120","10.10.10.10","TCP","58","80  >  16565 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1400"
